(1268758214.788023, '192.168.23.129', 64291, '192.168.23.2', 53, '\xfa\x1c\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x05nrtjo\x02eu\x00\x00\x01\x00\x01')
(1268758215.776923, '192.168.23.129', 64291, '192.168.23.2', 53, '\xfa\x1c\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x05nrtjo\x02eu\x00\x00\x01\x00\x01')
(1268758216.775324, '192.168.23.129', 64291, '192.168.23.2', 53, '\xfa\x1c\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x05nrtjo\x02eu\x00\x00\x01\x00\x01')
(1268758217.697167, '192.168.23.2', 53, '192.168.23.129', 64291, '\xfa\x1c\x81\x80\x00\x01\x00\x01\x00\x02\x00\x02\x05nrtjo\x02eu\x00\x00\x01\x00\x01\xc0\x0c\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x10\x03ns2\x06vnmhab\x03com\x00\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x06\x03ns1\xc0:\xc0R\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f\xc06\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f')
(1268758217.717208, '192.168.23.2', 53, '192.168.23.129', 64291, '\xfa\x1c\x81\x80\x00\x01\x00\x01\x00\x02\x00\x02\x05nrtjo\x02eu\x00\x00\x01\x00\x01\xc0\x0c\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x10\x03ns1\x06vnmhab\x03com\x00\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x06\x03ns2\xc0:\xc06\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f\xc0R\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f')
(1268758217.718261, '192.168.23.2', 53, '192.168.23.129', 64291, '\xfa\x1c\x81\x80\x00\x01\x00\x01\x00\x02\x00\x02\x05nrtjo\x02eu\x00\x00\x01\x00\x01\xc0\x0c\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x10\x03ns1\x06vnmhab\x03com\x00\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x06\x03ns2\xc0:\xc06\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f\xc0R\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f')
(1268758234.688275, '192.168.23.129', 59820, '192.168.23.2', 53, '[\x1d\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x05nrtjo\x02eu\x00\x00\x01\x00\x01')
(1268758234.759037, '192.168.23.2', 53, '192.168.23.129', 59820, '[\x1d\x81\x80\x00\x01\x00\x01\x00\x02\x00\x02\x05nrtjo\x02eu\x00\x00\x01\x00\x01\xc0\x0c\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x10\x03ns1\x06vnmhab\x03com\x00\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x06\x03ns2\xc0:\xc06\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f\xc0R\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04;5[f')
(1268758244.609168, '192.168.23.129', 64292, '192.168.23.2', 53, '\xe7\x8a\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x03102\x0291\x0253\x0259\x07in-addr\x04arpa\x00\x00\x0c\x00\x01')
(1268758245.454131, '192.168.23.2', 53, '192.168.23.129', 64292, '\xe7\x8a\x81\x83\x00\x01\x00\x00\x00\x01\x00\x00\x03102\x0291\x0253\x0259\x07in-addr\x04arpa\x00\x00\x0c\x00\x01\xc0\x13\x00\x06\x00\x01\x00\x00\x00\x05\x00.\x02ns\x07jxncptt\x03net\x02cn\x00\x04root\xc0:\x00\x00\x00\x05\x00\x00*0\x00\x00\x0e\x10\x00\t:\x80\x00\x01Q\x80')
(1268758264.998619, '192.168.23.129', 52499, '192.168.23.2', 53, '\xbc\xa3\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x08freeways\x02in\x00\x00\x01\x00\x01')
(1268758265.098157, '192.168.23.2', 53, '192.168.23.129', 52499, '\xbc\xa3\x81\x80\x00\x01\x00\x01\x00\x04\x00\x04\x08freeways\x02in\x00\x00\x01\x00\x01\xc0\x0c\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04\xd4\xfc \x14\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x12\x03ns3\x08everydns\x03net\x00\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x06\x03ns1\xc0=\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x06\x03ns2\xc0=\xc0\x0c\x00\x02\x00\x01\x00\x00\x00\x05\x00\x06\x03ns4\xc0=\xc0W\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04\xd0L=d\xc0i\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04\xd0L>d\xc09\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04\xd0L?d\xc0{\x00\x01\x00\x01\x00\x00\x00\x05\x00\x04\xd0L<d')
